person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_1989;6925.582558324349;4748.436038591509;1.458497598375281;987.0;394.0;2.50507614213198
additional_407;2889.825566526154;2889.825566526154;1.0;342.0;263.0;1.3003802281368821
additional_1689;10458.834048506682;5560.64979890944;1.8808654432001597;1354.0;429.0;3.156177156177156
additional_155;8313.969052938095;4172.463202619141;1.9925805571440978;1031.0;294.0;3.506802721088435
additional_2151;14925.136228808742;5811.1622189624695;2.5683564950409337;1718.0;444.0;3.869369369369369
additional_1167;7226.922597675311;5633.025393467596;1.2829557995701737;1248.0;344.0;3.627906976744186
additional_622;10085.574902792603;4007.4693668473565;2.5166941976469412;1304.0;352.0;3.7045454545454546
additional_2169;8577.075054288847;3199.5952057549766;2.68067505503872;1462.0;268.0;5.455223880597015
additional_1008;4507.980647861247;4206.59322466351;1.0716464386027829;1282.0;235.0;5.45531914893617
additional_133;7518.117193556903;4270.702465577336;1.7603935779076956;1061.0;334.0;3.1766467065868262
additional_520;14605.064563511118;4908.906889689685;2.975217271728365;1733.0;365.0;4.747945205479452
additional_444;11555.89977881627;4025.058738776777;2.870989103211977;1679.0;324.0;5.182098765432099
additional_557;4615.837908229338;2955.9296384057343;1.5615520235180111;675.0;206.0;3.2766990291262137
additional_1725;7268.532184257177;5145.939593558117;1.4124791113669897;1311.0;335.0;3.9134328358208954
additional_210;3183.4683438513966;3183.4683438513966;1.0;559.0;257.0;2.1750972762645913
additional_1061;8296.033376038235;2872.52632325904;2.8880617416330323;1143.0;198.0;5.7727272727272725
additional_639;5282.304276512323;3241.3517791280674;1.6296609058376494;866.0;284.0;3.0492957746478875
additional_2269;2616.4873408624762;2616.4873408624762;1.0;352.0;222.0;1.5855855855855856
additional_925;8375.37127152984;4791.741678070538;1.7478762074883598;1685.0;355.0;4.746478873239437
additional_1707;9590.971039306667;4942.062635779703;1.9406818055824806;1451.0;398.0;3.6457286432160805
additional_1080;10298.993533800296;5570.344236785075;1.8488971410040471;1143.0;484.0;2.3615702479338845
additional_1125;13735.109158710673;7346.542088469403;1.8696019152014796;1851.0;473.0;3.9133192389006344
additional_1776;4012.660731140688;4021.3024542316098;0.9978510138967965;1181.0;282.0;4.1879432624113475
additional_1793;7488.655092977408;6279.328144601963;1.1925885891813195;1313.0;373.0;3.520107238605898
additional_1225;11172.406273259703;6276.319458875432;1.7800888476861458;1743.0;323.0;5.396284829721362
additional_643;10792.795702787887;3056.2489083163264;3.5313863584277203;1498.0;213.0;7.032863849765258
additional_589;13227.932409639274;5232.664917923209;2.5279532737382513;1493.0;401.0;3.7231920199501247
additional_286;2959.6983945746565;2959.6983945746565;1.0;395.0;334.0;1.1826347305389222
additional_1463;13486.767331829564;7936.603574658686;1.6993122064068273;1795.0;430.0;4.174418604651163
additional_374;7817.897833596861;4536.676388302294;1.7232654843433652;1168.0;353.0;3.308781869688385
